source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/jesse-watters/fox-news-welcomes-swastika-wielding-teacher-latest-anti-trans-culture-warrior
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/cnns-disastrous-trump-town-hall-was-exactly-what-its-leaders-want
https://www.mediamatters.org/	https://www.mediamatters.org/guns-public-safety
https://www.mediamatters.org/	https://www.mediamatters.org/mar-lago-search/trump-indictment-incinerates-right-wing-defenses-him-made-over-past-year
https://www.mediamatters.org/	https://www.mediamatters.org/tim-pool/after-roe-conservatives-set-their-sights-ending-no-fault-divorce-laws
https://www.mediamatters.org/	https://use.typekit.net/jqh3ujo.css
https://www.mediamatters.org/	https://www.mediamatters.org/bari-weiss/timeline-unfolding-saga-between-free-press-and-missouri-gender-clinic
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-host-blames-pete-buttigiegs-obsession-equity-i-95-collapse
https://www.mediamatters.org/	https://www.mediamatters.org/matt-walsh/youtube-strips-ad-revenue-matt-walsh-show-after-repeated-vitriol-against-dylan-mulvaney
https://www.mediamatters.org/	https://www.mediamatters.org/broadcast-networks/national-tv-news-chokes-out-climate-angle-coverage-canadian-wildfires
https://www.mediamatters.org/	https://www.mediamatters.org/?page=0
https://www.mediamatters.org/	https://www.mediamatters.org/diversity-discrimination/right-wing-medias-shameful-history-defending-pedophilia-and-sexualizing
https://www.mediamatters.org/	https://www.mediamatters.org/job-openings
https://www.mediamatters.org/	https://www.mediamatters.org/contact-us
https://www.mediamatters.org/	https://www.mediamatters.org/diversity-discrimination/timeline-rights-crusade-against-lgbtq-corporate-pride-month-campaigns
https://www.mediamatters.org/	https://www.mediamatters.org/twitter/linda-yaccarino-just-started-twitters-new-ceo-elon-musk-already-destroyed-platform
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-covenant-school-shooting
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-anchor-disregards-foxs-own-debunks-gop-claim-fbi-document-shows-biden-was-paid
https://www.mediamatters.org/	https://www.mediamatters.org/mar-lago-search/right-wing-media-melt-down-after-trump-becomes-first-former-president-be-federally
https://www.mediamatters.org/	https://www.mediamatters.org/tiktok/tiktok-enabling-telehealth-company-under-dea-investigation-alleged-overprescription
https://www.mediamatters.org/	https://www.mediamatters.org/false-flag-conspiracy-theory/how-facebook-led-arizona-state-sen-justine-wadsack-claim-uvalde
https://www.mediamatters.org/	https://www.mediamatters.org/take-action
https://www.mediamatters.org/	https://www.mediamatters.org/january-6-insurrection/steve-bannons-podcast-interviews-maga-january-6-rioter-outside-miami
https://www.mediamatters.org/	https://www.mediamatters.org/#arrow
https://www.mediamatters.org/	https://www.mediamatters.org/foxdominion-lawsuit/bret-baiers-reported-texts-tucker-carlson-illustrate-entire-network-toxic
